LIMS_ID,B.naive,B.memory,Plasma.,T.CD8,T.CD4.naive,T.CD4.memory.resting,T.CD4.memory.activated,T.follicular.helper,T.regulatory.(Tregs),T.gamma.delta,NK.resting,NK.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.resting,Dendritic.activated,Mast.resting,Mast.activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HOA7818A114,0.027787159,0,0,0.25027709,0,0.059310558,0.028747035,0,0,0,0.004667194,0.080926794,0.241028195,0,0,0,0,0.001230133,0.005382285,0,0,0.300643556,0,0.779451303,0.655536901
HOA7818A117,0.064397542,0,0,0.168083424,0.016971411,0.030731656,0.01793865,0,0.041430196,0,0.028014327,0.034234463,0.361945165,0,0,0,0,0.002450903,0,0,0,0.233802263,0,0.8365568,0.613083081
HOA7818A118,0.038276827,0,0,0.220268803,0.036034346,0.031282001,0.032858212,0,0.008175166,0,0,0.066723163,0.299878898,0,0,0,0,0.003152827,0.020961188,0,0,0.24238857,0,0.746858268,0.692994172
HOA7818A119,0.036250673,0,0,0.164404305,0.07163187,0.02249991,0.010926151,0,0.003182431,0,0.035995443,0.033007965,0.342484098,0,0,0,0,0.002578391,0.008445658,0,0,0.268593106,0,0.822660211,0.617793735
HOA7818A92,0.04453143,0,0,0.179986346,0.021326632,0.021119357,0.002040569,0,0.035817743,0,0.083088693,0.042276412,0.308974569,0.01650088,0,0.000259037,0,0.000155836,0,0.016047575,0,0.227874922,0,0.764863836,0.678536122
HOA7818A94,0.022921937,0,0.00075573,0.079241317,0.043502703,0.055921545,0.011467733,0,0.020283589,0.020356506,0,0.014034017,0.461423336,0,0,0,0,0.001681871,0.012512768,0,0,0.255896947,0,0.799617412,0.626974607
HOA7818A95,0.011404421,0,0.00307462,0.212186792,0.006735263,0.053486371,0.016647135,0,0.007666335,0.00344891,0.01873041,0.063667723,0.408955222,0.014634219,0,0,0,0,0.004907592,0,0,0.174454987,0,0.770664082,0.672549135
HOA7818A103,0.039232186,0.010460158,0,0.270960533,0.030313203,0.005501265,0.034343261,0,0.022866165,0,0,0.104205451,0.290805554,0,0,0,0.006409528,0.005225811,0,0.011120188,0,0.168556696,0,0.7893886,0.667102587
HOA7818A104,0.041428118,0,0,0.185262787,0,0,0.013400089,0,0.042227745,0,0.025222602,0.071383675,0.342145349,0,0,0,0,0.000539631,0.003941583,0,0,0.274448421,0,0.785414807,0.648686083
HOA7818A105,0.020860059,0.01808012,0,0.240446805,0.04897565,0,0.04048359,0,0.02103401,0,0.001362716,0.082944316,0.334454632,0.011915945,0,0,0.009359543,0,0,0,0,0.170082615,0,0.760737567,0.689111202
HOA7818A111,0.030577646,0,0.000850494,0.110898886,0.086576272,0.044899373,0.019338101,0,0.008510379,0.002656918,0,0.048784831,0.27249333,0,0,0,0,0.003132434,0.011036751,0,0,0.360244584,0,0.871573422,0.549918436
HOA7818A113,0.029365116,0,0,0.124567528,0.038986392,0.035780271,0.019163834,0,0.016028608,0,0.006994759,0.026734086,0.468074996,0.005647404,0,0,0,1.42E-05,0.004182764,0,0,0.224460085,0,0.874231743,0.558701397
